antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_text,consequents_text,rule_type
['keyword:dark_matter'],['keyword:dark'],0.0042253168987674075,0.0053504012800960074,0.0031252343925794435,0.7396449704142012,138.24102748437758,1.0,0.003102627251635467,3.8203586859923586,0.9969788088781761,0.48449612403100784,0.7382444733091221,0.6618785599734558,['keyword:dark_matter'],['keyword:dark'],keyword_to_keyword
['keyword:dark'],['keyword:dark_matter'],0.0053504012800960074,0.0042253168987674075,0.0031252343925794435,0.5841121495327103,138.24102748437758,1.0,0.003102627251635467,2.394334631277121,0.9981065279139331,0.48449612403100784,0.5823474350923926,0.6618785599734558,['keyword:dark'],['keyword:dark_matter'],keyword_to_keyword
['keyword:star'],['keyword:star_formation'],0.00410030752306423,0.0020251518863914795,0.001050078755906693,0.25609756097560976,126.45844625112917,1.0,0.0010417750103915743,1.341539959759277,0.9961768956823308,0.20689655172413793,0.2545879884342485,0.3873080397470641,['keyword:star'],['keyword:star_formation'],keyword_to_keyword
['keyword:star_formation'],['keyword:star'],0.0020251518863914795,0.00410030752306423,0.001050078755906693,0.5185185185185185,126.45844625112916,1.0,0.0010417750103915743,2.0684070536059433,0.994105478648018,0.20689655172413793,0.516536168131579,0.3873080397470641,['keyword:star_formation'],['keyword:star'],keyword_to_keyword
['keyword:matter'],['keyword:dark'],0.0034002550191264344,0.0053504012800960074,0.002100157511813386,0.6176470588235294,115.43938977460142,1.0,0.0020819647830063993,2.6013912581905183,0.9947197463566849,0.31578947368421056,0.6155903127407362,0.5050852116547554,['keyword:matter'],['keyword:dark'],keyword_to_keyword
['keyword:dark'],['keyword:matter'],0.0053504012800960074,0.0034002550191264344,0.002100157511813386,0.3925233644859813,115.43938977460142,1.0,0.0020819647830063993,1.6405565032762073,0.9966700301516681,0.31578947368421056,0.3904507415605678,0.5050852116547554,['keyword:dark'],['keyword:matter'],keyword_to_keyword
['keyword:single_photon'],['keyword:photon'],0.001600120009000675,0.006875515663674775,0.001000075005625422,0.6250000000000001,90.90227272727275,1.0,0.0009890733554397783,2.6483319582302016,0.9905842285828762,0.13377926421404684,0.6224038316298274,0.3852272727272728,['keyword:single_photon'],['keyword:photon'],keyword_to_keyword
['keyword:photon'],['keyword:single_photon'],0.006875515663674775,0.001600120009000675,0.001000075005625422,0.14545454545454548,90.90227272727275,1.0,0.0009890733554397783,1.1683402850958504,0.9958461306077235,0.13377926421404684,0.14408497870296386,0.3852272727272728,['keyword:photon'],['keyword:single_photon'],keyword_to_keyword
['keyword:magnetic_field'],['keyword:magnetic'],0.0025751931394854613,0.009975748181113584,0.0017501312598444884,0.6796116504854369,68.12638392096747,1.0,0.00172444178156725,3.09007569507107,0.9878653431593724,0.16203703703703703,0.676383332099248,0.4275251234883325,['keyword:magnetic_field'],['keyword:magnetic'],keyword_to_keyword
['keyword:magnetic'],['keyword:magnetic_field'],0.009975748181113584,0.0025751931394854613,0.0017501312598444884,0.17543859649122806,68.12638392096747,1.0,0.00172444178156725,1.2096428508733899,0.9952497600888934,0.16203703703703703,0.17330970932620568,0.4275251234883325,['keyword:magnetic'],['keyword:magnetic_field'],keyword_to_keyword
['keyword:ray'],['keyword:gamma_ray'],0.007725579418456384,0.0024251818886416483,0.001275095632172413,0.1650485436893204,68.05615053548193,1.0,0.0012563596968875098,1.194769840296162,0.9929775780499662,0.1436619718309859,0.16301871182811398,0.3454108697828045,['keyword:ray'],['keyword:gamma_ray'],keyword_to_keyword
['keyword:gamma_ray'],['keyword:ray'],0.0024251818886416483,0.007725579418456384,0.001275095632172413,0.5257731958762886,68.05615053548192,1.0,0.0012563596968875098,2.092404756443689,0.9877016069585729,0.1436619718309859,0.5220809946448275,0.3454108697828045,['keyword:gamma_ray'],['keyword:ray'],keyword_to_keyword
