paper_id,cluster_id,umap_x,umap_y
1002.3692,4,5.415264,-1.6553088
0705.3197,4,4.9899635,4.6476507
0912.4008,4,5.2936683,-1.5017335
1001.0111,4,5.091078,4.216913
0908.1337,4,5.207368,2.0828671
1001.3784,4,5.295474,-0.7989508
1001.2079,4,5.5506787,0.055783357
0908.3314,4,4.990771,-1.5816354
0911.0794,4,4.696468,-1.1565385
0906.3905,4,2.7686005,1.8474476
0810.5744,4,4.6222963,0.19010438
0812.4309,3,2.8910491,2.7995327
0910.4562,4,2.814812,0.2368597
0912.3209,4,4.046216,-0.2641835
0908.2560,4,5.397642,-0.70188004
0908.2211,4,5.566273,-1.7756515
0909.3278,4,5.492942,-0.912457
0905.0343,4,4.1444592,-0.2537733
0812.4750,4,2.8406675,1.8658445
0906.1161,4,3.1041636,1.5420377
0909.4614,4,5.452281,-1.8583156
0910.1104,4,5.3731704,-2.549278
1002.1930,4,4.823417,4.4996777
0910.4658,4,3.6909132,0.5675641
0905.1726,4,4.7072377,-1.5312623
0810.2676,4,4.964305,-0.6546859
0910.2432,4,4.7961783,-1.0391616
0705.1428,4,4.9646463,-0.67127573
0909.5063,4,5.3081884,-1.8588405
0911.1985,1,1.5967503,8.521589
1001.5468,4,4.9402776,4.587469
0903.1715,4,4.8930373,-0.69939333
0905.2115,4,5.562109,-2.423358
0908.2405,4,5.6793566,-1.8914392
0811.3299,0,4.918729,-1.2276418
0908.2248,1,1.613243,7.3776255
0807.3557,4,4.9565325,0.21951465
0812.1897,4,4.5747147,-0.889
1002.0854,4,4.859454,-1.1235934
0704.0693,4,5.2381105,-0.9421482
0908.1898,4,5.4053426,4.884466
0807.2423,4,3.631561,5.0491476
0910.2507,2,5.726267,-1.5890474
0806.0101,4,5.2319584,-2.2390983
0908.2900,4,5.445441,-0.0020018634
0910.5742,4,5.021752,4.358046
0906.0729,4,2.6381629,0.04883741
0806.3453,4,5.501523,-2.4172032
0905.3393,4,5.0368314,4.3960633
0908.1494,4,5.641245,-1.1892334
0907.5428,4,5.636178,-1.8640169
0812.1204,4,3.961977,-0.16832177
0911.5305,4,5.511605,-2.4146178
0907.4454,4,5.3749557,-2.4758046
0712.4067,4,5.210624,1.97475
0910.5748,1,5.1932073,5.0996304
0903.4028,4,2.7034016,0.0035630686
0906.0907,4,4.9221597,-1.4081355
1001.4827,4,3.8898947,0.25774008
0906.0031,4,3.4723527,5.4320536
0906.4895,4,4.9770923,-2.0289943
0812.2808,4,3.0447366,1.6166955
0808.3735,4,5.2626,-1.8331621
1001.0364,4,5.244025,0.4760753
0803.0744,4,4.8436766,-1.2099746
0812.0024,4,4.971108,-1.116926
0911.1635,3,2.9285738,2.8786483
0809.1599,4,3.8079963,0.17232844
0911.4140,4,5.4271975,-1.1323464
0904.2403,4,5.0800123,4.300385
0705.1734,4,5.439731,-2.0933619
0705.2842,4,3.4225314,0.38944024
0909.3588,4,4.894676,-1.2138851
0906.2299,4,5.547592,-2.043783
1002.2170,4,3.1968899,5.6719937
0907.4415,4,5.5067763,-1.9427782
0809.0283,4,5.5275297,-2.191498
0905.2156,4,4.6741085,-1.7068661
0906.2174,4,4.118536,-0.31537175
0812.3243,2,4.1763515,4.5930777
0710.2603,4,4.16921,-0.5571829
0907.3481,4,3.719254,5.058051
0907.3024,4,5.3605633,-2.1902351
0906.0431,3,2.9775062,2.6341064
0904.3075,4,4.463727,-0.55067164
0906.2203,4,5.6658707,-0.9027348
0902.4056,4,5.0040016,4.557557
0910.1194,1,3.8865302,5.0751424
0904.2896,4,5.1211185,-1.9614878
1001.3559,4,5.3740005,-1.7809111
0903.1524,4,4.831458,4.6377015
1002.3536,4,5.121082,4.468897
0905.3988,4,5.6833706,-2.0558176
0908.1399,4,5.181798,-0.61193275
0804.1050,4,4.6465316,-1.7044495
0704.3175,4,4.718005,4.28683
0811.3721,1,1.6568476,9.408188
0904.3208,4,5.1657395,-0.29311135
0903.4806,4,5.0118785,-1.2670759
0909.1075,4,5.5021677,-2.2710001
0812.2964,1,2.4561193,8.424603
0811.0245,4,4.7478895,-1.8330665
0910.5345,4,5.431538,-1.6321427
0909.4885,1,1.0296277,7.147952
0711.2968,4,5.8382983,-1.263487
0804.0984,4,5.62104,-0.9675083
0908.3260,4,6.050626,5.5952973
0910.1139,4,4.8042936,-1.1368666
0705.2929,4,4.6706324,-1.7059027
0908.4046,4,4.7513227,0.009714805
1001.4066,4,5.808689,-1.358246
0903.5423,4,5.254189,-1.5645056
0912.0997,4,5.5380993,-2.4514813
0906.1701,4,5.7678967,-0.86321044
0806.2851,4,5.1344,-0.78127027
1002.0604,1,4.7681155,4.550392
0908.0288,4,4.6541266,-1.1420872
0912.0416,4,5.496703,-2.3774903
0812.5057,4,5.150169,-2.1158075
0904.3916,4,4.882795,-1.8832015
0810.4305,4,4.5808177,-0.17968798
0708.0455,4,4.679713,-1.4777504
0901.2121,4,2.4459746,1.5089865
0903.0323,4,5.558554,-2.495423
0912.4967,4,5.5799546,-1.4509602
0904.2630,4,4.361166,-0.41332301
0811.2403,1,-1.1879519,8.137215
0912.4754,4,5.0441475,4.624478
0908.0174,4,3.6540523,0.030856054
0912.1908,4,5.1891747,-1.5280104
0907.1606,4,5.7889867,-0.8674549
0907.2913,4,5.813097,-1.9441881
1002.2393,4,4.6019707,-1.0208507
0810.1494,4,5.4170685,-1.0710045
0910.5513,4,5.4062653,-1.955792
0901.4956,4,5.690229,-0.9266067
0801.3474,4,4.6619253,4.4452014
0909.2701,4,4.600739,-0.10767634
0705.1951,3,3.919167,5.0239663
0905.2827,4,5.434706,-2.4038775
0910.0217,4,5.4705367,-1.0769566
0810.3811,4,5.1939783,0.8158106
0911.4970,4,4.1264496,-0.32895875
0809.4226,4,4.1843596,-0.102780335
0912.1237,4,5.5909724,-1.7076288
0810.0245,4,4.5849085,1.2444286
0907.0392,4,5.3812976,-0.84895116
0905.0542,4,5.7475266,-1.828281
0902.3420,4,3.5148518,0.27108663
0906.5604,4,5.6701617,-1.1086364
0810.5233,4,5.710498,-1.3616484
0905.3589,4,4.905844,-1.2268028
0704.2611,4,5.5756745,-0.8849741
0910.4252,4,5.0276446,-1.6884546
0901.1425,3,4.0374846,4.3632116
0901.2604,4,5.8146353,-1.9523562
0910.5361,4,4.1953807,-0.41864464
0906.1254,4,5.6762176,-0.8692378
0705.0879,4,4.7379246,-1.5356566
0902.1961,4,5.435635,0.0074957544
1001.1411,4,4.682743,-0.94351876
0910.3231,4,4.948591,4.512735
1002.2577,4,4.9294453,-0.73478264
0910.2725,4,3.9655573,5.12682
0905.0784,4,5.28928,-1.1251702
0907.4059,3,2.9070969,5.67177
0902.4314,4,5.272469,-2.1190193
0903.2467,4,5.040206,-1.4505426
0903.4729,4,3.4425611,4.330388
0909.3076,4,4.6329665,-1.5933137
0905.4144,4,5.548962,-0.013099461
0910.1318,4,5.562147,-2.2543504
0804.2385,4,5.1445947,-1.5197698
0909.0640,4,2.767761,1.7186345
1002.2078,4,5.054546,-0.49838167
